start	end	text
0.000	5.040	Me ajuda em encontrar um cara bacana para tudo, aquele que você fala assim, esse aqui,
5.040	6.540	mamam.
6.540	7.540	Oi?
7.540	9.540	Vamos tentar porque por aqui tá difícil.
9.540	19.640	Já começou, dovidando do potencial dos meus ratatui.
19.640	24.720	Bruto, brutíssima.
24.720	30.600	Brutíssima é foda.
30.600	34.000	Pode cracharzinho, escala.
34.000	35.000	Crachar de cria.
35.000	36.000	Crachar de cria.
36.000	39.000	Bruto, bruto demais.
39.000	41.000	Roludo, hola.
41.000	43.400	Meio medo de pique.
43.400	44.400	Meio.
44.400	45.400	Oi.
45.400	48.000	Ela é jada, né?
48.000	50.000	Amarrado, tudo por dentro da casa.
50.000	52.000	Amarrou o piru, só pra gente.
52.000	54.000	Tu sabe cozinha?
54.000	55.000	E sei, sei.
55.000	57.000	O que você é fazer pela gente a hoje?
57.000	61.000	Estravar na África de frango.
61.000	66.000	E é acaba da tapária, não, nada vem.
66.000	69.000	Ah, isso aí eu faço tudo em casa.
69.000	70.000	Tu quer uma coisa especial?
70.000	71.000	Lóisco, né?
71.000	73.000	Uma coisa mais laborada.
73.000	74.000	Caralho.
74.000	77.000	Ela quer um negócio mais laborado.
77.000	79.000	Uma carrinha, essa, a dana chou a esquerda.
79.000	82.000	Uma carrinha, sei lá, dana chou a esquerda.
82.000	84.000	E sei lá.
84.000	86.000	Não é na chapa, gente.
86.000	89.000	Ou não, na chau a esquerda, sei lá.
89.000	92.000	A chau a esquerda é, né?
92.000	94.000	Sei lá, do que?
94.000	96.000	Tentei.
96.000	100.000	Ei, vai se avotir, amfeir, esse é um estrogo anove.
100.000	102.000	Você falou nessa, porra, já faço em casa.
102.000	105.000	Então eu vou te tragar carrinha na chau a esquerda, sei lá, dinha.
105.000	108.000	Aquela que tu bota, carrinha.
109.000	112.000	Legal, mas uma ruisinha, sabe fazer?
112.000	113.000	Como sei?
113.000	115.000	Sabe fazer alguma sobre a mesma?
115.000	117.000	Múse de uma coisa, cara.
117.000	118.000	Tirou, anda.
118.000	120.000	Gosto de músezinha?
120.000	122.000	É uma da vivenfeirida, esse.
122.000	124.000	Eles não podem te ganhar só por isso.
124.000	128.000	Eu pessoal até comemorou o meu primeiro aceto.
128.000	130.000	Em potência de ter a rol incorporada?
130.000	131.000	Oi?
131.000	132.000	É.
132.000	133.000	Vai lá, Patros.
134.000	137.000	Caralho, denunciar o piru dele.
139.000	142.000	Oi, moleja, deve ter pegado.
142.000	145.000	Com certeza.
145.000	147.000	A ciôme de piru.
149.000	150.000	Bruto, bruto.
150.000	151.000	A chau a rolo.
151.000	152.000	A chau a rolo.
152.000	154.000	É, é só eu, eu vou falar.
154.000	155.000	Oh, eu vou.
159.000	160.000	Ah, leca.
160.000	161.000	Vamos ver.
163.000	165.000	Ah, o que é chudo, barminh?
165.000	167.000	É, é, esse loso, né.
167.000	168.000	Mas, altos.
168.000	169.000	É.
169.000	171.000	Essa gente e o cheiro do pescoço, uma lá perfume.
171.000	173.000	Vamos ver se ele tá bom.
173.000	175.000	Na rapra, a gente como ficou.
175.000	177.000	E botou a mão escarada.
177.000	180.000	Serúso, perfume do o seu gosto.
180.000	182.000	Perfamisinha, leve.
182.000	183.000	É, do assim.
183.000	185.000	Ele pode sentir o seu cheiro agora.
185.000	186.000	Pau, ai.
186.000	188.000	Sem costar, meu, meu tamanho que ele já quer pegar no pesco.
188.000	190.000	Ele já quer pegar no pescoço.
190.000	192.000	A chau, o cabelo já botou o pescoço.
192.000	193.000	Aqui, vai lá.
193.000	195.000	Temos que ficar com o tesão da porra aqui.
195.000	197.000	Oh, beleza.
197.000	198.000	Lá vem.
198.000	199.000	O adeque.
199.000	200.000	De mais.
200.000	201.000	E isso?
201.000	203.000	Puxhou, filmoz.
203.000	204.000	De mais.
204.000	206.000	Puxhou, filmoz.
206.000	207.000	Já bombei o pirou.
207.000	210.000	Se fosse pra levar ela pra passear.
210.000	211.000	Qual o lugar que você levaria?
211.000	212.000	Altbeck.
212.000	214.000	Cara, ai.
214.000	215.000	Batatinho.
215.000	216.000	Altbeck.
216.000	218.000	Cara, ai.
219.000	221.000	Batatinho.
221.000	222.000	Chazinho.
222.000	224.000	É, o que é, padrão, né.
224.000	226.000	Todo mundo gosta, ó.
226.000	228.000	Ela botou todo mundo pra baixo, né.
229.000	233.000	Se ela quiser comer, caixa também fácil o risoto e calma não pra ela.
234.000	235.000	Oi.
235.000	236.000	Doi aqui, de limão.
236.000	237.000	Cara.
237.000	239.000	Oi.
239.000	242.000	Pelo, você é risoto de limão se sireano.
245.000	246.000	Oi.
246.000	248.000	Pelo, eu pebo limão no pebo, né.
248.000	250.000	É nascesseira, vai ser fórna.
252.000	254.000	Ela jogou, acho que, estraga na f.
254.000	255.000	E se eu faço.
255.000	256.000	Altbeck, padrão.
256.000	257.000	Resoto.
257.000	259.000	Tem que ser dacesseira.
259.000	261.000	Vai lá pra trás.
261.000	263.000	Ela tá difícil pra caramba.
263.000	264.000	Cheiria de...
264.000	266.000	Esse é Brutoim.
266.000	268.000	Ombrudo.
268.000	270.000	Calça, alegue.
272.000	274.000	E cara, a mulher tá tesou, no lhe.
274.000	276.000	Gastou em que isso, cara.
276.000	278.000	O pior que eu tô com essa iguana dela.
282.000	283.000	Bruto, Bruto.
283.000	285.000	Saga, esposa, calma, pistela toda hora.
285.000	286.000	Só com o Nakuister.
286.000	287.000	O. Fala aqui, não.
287.000	288.000	Vamos ver se ela gosta.
288.000	290.000	Gosta de uma coisa mais bruto.
290.000	291.000	Muito não.
291.000	292.000	Marleve.
292.000	293.000	Ah.
